央视,#genre#
央视军事,http://113.220.235.19:9999/tsfile/1ive/0007_1.m3u8

央视剧集,https://api.livednow.org/migu/624878356?sign=gAAAAABnJcJqw9dP6jwWUpKtifWTU97cE4kDpJmHWTbZD1ezcD3BLnqA4kJ_aSSQhe-ijrx2Z5Bm-wNBbguJ08avBolBe_yGvaJ1XKsKys_EAvx1QOauipvQfuKV15NrpBtQEMBADkCRzEwhHzbrcugddFVzwBFgmu7RrqSIIe848HA7b03yYseeTrXmOBJr1i1i99vgEUQOlaa1ismbhcTCecoRnyCfpQ%3D%3D
央视剧集,http://183.94.146.109:2222/tsfile/live/0008_1.m3u8
央视剧集,http://113.249.22.86:9999/rtp/235.254.198.57:1504
央视剧集,http://113.220.235.19:9999/tsfile/1ive/0008_1.m3u8

央视纪录,https://api.livednow.org/migu/673168140?sign=gAAAAABnJcJqdqv3pFhYgBnmgGSIbZzHbX-DBJ-zNXsXFK68-5Wan9QqWYyKUxKv-XaTGYQIel_BUzZGYjzs5NPKiqPSXuul1GUOzl4VFlTGdyR6nNrAKB_lLRVjYzhVt6KX7j3DAzD44tiZocsNItrAhkJX7yIj6OGUq8s_mfXT_nlO_Xmgp4LUF7YnUnrICTc0LNBR-pQ1H2eiQcO2V6TCwrqhcHkABg%3D%3D
央视纪录,http://183.94.146.109:2222/tsfile/live/0009_1.m3u8
央视纪录,http://113.249.22.86:9999/rtp/235.254.198.58:1508
央视纪录,http://113.220.235.19:9999/tsfile/1ive/0009_1.m3u8

央视科教,https://api.livednow.org/migu/624878405?sign=gAAAAABnJcJqUD0VJHgW_jpi9fSEDhVqtVpgjlm5l2RFB5crphtq4Lgd1pE-Tc_n_qCmd9kwraXg4RZcc0KxzMy3Ef70prdHPMgkFbuJGwsobC29UUm_Kh7XbBVy-fqPer-IzPfc4oRJ10aPTq5_azxz8u2Qp6Ay2EYOLMg1O-EnQ79eNgaXc-2s1ccgdc5zllFwTrdP0XNkac4cX20eCWKPBULxodi6KQ%3D%3D
央视科教,http://183.94.146.109:2222/tsfile/live/0010_1.m3u8
央视科教,http://113.249.22.86:9999/rtp/235.254.198.59:1512
央视科教,http://113.220.235.19:9999/tsfile/1ive/0010_1.m3u8

央视戏曲,https://api.livednow.org/migu/667987558?sign=gAAAAABnJcJq0uxG3wXdtrtqiIBCWRnKBVOa5nG_MrcR-XE_FxKhhSx7qj7d71b67HWtpFnV2yWlbi0DB4eVSBIi6y6ATRTRy-BAzHYzmANZxHCzKfrpNUunkDnLY0q7rIKTNSg3JuHII5wLmoBSDoeTzc8Tt6xXcUd5Hv-oHFU6L8gBAJjtBl6u0vGjL4NCXzTdg5rTNQf-Lx3S3ew-DiWy1XnrFEc26g%3D%3D
央视戏曲,http://183.94.146.109:2222/tsfile/live/0011_1.m3u8
央视戏曲,http://113.249.22.86:9999/rtp/235.254.198.7:1304
央视戏曲,http://113.220.235.19:9999/tsfile/1ive/0011_2.m3u8

央视社法,https://api.livednow.org/migu/673168185?sign=gAAAAABnJcJqfs_3emdJIy9mYYyN6M29-FRfMp5HBvyku5jviEWtan66IU2XguJLoP7tu5be63y71Amc1LQKABsz3w4K4MYcVJZQ2FpXjnYoI80vaFeq2t-GfRY3n-XhzImihJvGiPd8fDG9pEIVWSneLNgmMkomXAfDlza_TggSrlVcSDkpi6DsXXNOBLsIpsHdWRSbJtzbhkX3j0w7KzFZhMevYAkEqg%3D%3D
央视社法,http://183.94.146.109:2222/tsfile/live/0012_1.m3u8
央视社法,http://113.249.22.86:9999/rtp/235.254.198.60:1516
央视社法,http://113.220.235.19:9999/tsfile/1ive/0012_2.m3u8

央视新闻,https://api.livednow.org/migu/608807423?sign=gAAAAABnJcJqWcv58U6OGzQabwzd_fRQdYIiL56pNYvWDLYx8OqIYIZTaT5ceZHRyt06wODism6P1aOwUkuZhiEfldQ55DPEyxVt51QPQHSDakx6DZ2ucwlxwe6nUNX83Y9VomRK3nxUdOy7T5XXGKyCDKucirezIa1eLScwKqq2ONtkQFwIsf7M2R3c5RDB5YQ6uMRY3eA0hSaiRTacGYQSjA_U1rUG5g%3D%3D
央视新闻,http://183.94.146.109:2222/tsfile/live/0013_1.m3u8
央视新闻,http://113.249.22.86:9999/rtp/235.254.198.9:1312
央视新闻,http://113.220.235.19:9999/tsfile/1ive/0013_2.m3u8

央视少儿,https://api.livednow.org/migu/624878440?sign=gAAAAABnJcJqbiZjvH8WPpn2MSC9d1plZ1uK5RoepfZ6jSSLDNY5MEkVmC6AeWa4kDMXAhPgpPm331nzJkqByvIwyJ1nvMCSyjAqVA9m3RE7fIRDF80f2H3UCJLesDEifymvAsoH5oyavOgYS4KyiZ0tkA_xHI22m-bhjRbDPbkfrr9U1pLOLTTNKxCBVpne91De96PBMhcK7JpHMEqngGthOBNZS4YfMg%3D%3D
央视少儿,http://183.94.146.109:2222/tsfile/live/0014_1.m3u8
央视少儿,http://113.249.22.86:9999/rtp/235.254.198.61:1520
央视少儿,http://113.220.235.19:9999/tsfi1e/1ive/0014_1.m3u8

央视音乐,https://api.livednow.org/migu/673168223?sign=gAAAAABnJcJqidnXewNhy-gri2ybb9iscI03y5nc62Syy1VqIhpbG4NsKVFHcgll52_xUKgwrWb5UR4xUTuxZnXcZ0qybFuneRF7vganvFXXcsbCxEG1p3RlEZw2hsCJ2G64570EsLkHymrjb0T7NBsJQyYJplJRLJFEd2gRpP40XLLJYTwJTmIC9b2eeLAZy4YEIn8-g7uBCctAPZtXqq8lS4vOcoHLSQ%3D%3D
央视音乐,http://183.94.146.109:2222/tsfile/live/0015_1.m3u8
央视音乐,http://113.249.22.86:9999/rtp/235.254.198.11:1320
央视音乐,http://113.220.235.19:9999/tsfile/1ive/0015_1.m3u8

央视农业,https://api.livednow.org/migu/673168256?sign=gAAAAABnJcJqaH7zxsZ2sHzgLIrp3fHULs5VLTwRm5kvc_YZnCZDZdFCwKXL_yaXA5nFcCZPD0omVJwDapyQUilo6R4kQgEmlWfnDyA0UbxOdEjCzJ9SHIiV_53r4aaArZ0IL_Aq0Mhm7cM6wcQ1EeLovgqiDPnCeUF2j3_KgX74Wh-ZpYuDKkQNsfBaJ1_P09_8SukvS2dsHXG-Tkr2RbVUU9z4qmS7iw%3D%3D


卫视,#genre#

湖南卫视,http://183.94.146.109:2222/tsfile/live/0018_1.m3u8
湖南卫视,http://113.220.235.19:9999/tsfile/1ive/0128_1.m3u8

湖北卫视,http://183.94.146.109:2222/tsfile/live/0017_1.m3u8
湖北卫视,http://113.249.22.86:9999/rtp/235.254.198.72:1564

浙江卫视,http://183.94.146.109:2222/tsfile/live/1002_1.m3u8
浙江卫视,http://113.220.235.19:9999/tsfile/1ive/0124_1.m3u8
浙江卫视,http://113.249.22.86:9999/rtp/235.254.198.63:1528

江苏卫视,http://183.94.146.109:2222/tsfile/live/1001_1.m3u8
江苏卫视,http://113.220.235.19:9999/tsfile/1ive/0127_1.m3u8
江苏卫视,http://113.249.22.86:9999/rtp/235.254.198.19:1352

东方卫视,http://183.94.146.109:2222/tsfile/live/0107_1.m3u8
东方卫视,http://113.220.235.19:9999/tsfile/1ive/1005_1.m3u8
东方卫视,http://113.249.22.86:9999/rtp/235.254.198.73:1568

东南卫视,http://183.94.146.109:2222/tsfile/live/1006_1.m3u8
东南卫视,http://113.249.22.86:9999/rtp/235.254.198.129:7980

广东卫视,http://183.94.146.109:2222/tsfile/live/1004_1.m3u8
广东卫视,http://113.249.22.86:9999/rtp/235.254.196.204:1088

深圳卫视,http://183.94.146.109:2222/tsfile/live/1005_1.m3u8
深圳卫视,http://113.220.235.19:9999/tsfile/1ive/0126_1.m3u8

北京卫视,http://183.94.146.109:2222/tsfile/live/1000_1.m3u8
